district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31,rps32
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１８８號十九樓,13.55,商,,,1090312,土地1建物1車位1,十九層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,133.95,3,2,2,有,有,10010000,82289,坡道平面,36.61,2000000,預售屋、或土地及建物分件登記案件；,RPOSMLTJRHIGFBF98DA,56.75,4.32,4.58,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１９０號十二樓,10.98,商,,,1090307,土地1建物1車位1,十二層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,113.56,2,2,1,有,有,7870000,81481,坡道平面,36.61,1600000,預售屋、或土地及建物分件登記案件；,RPONNLTJRHIGFBF58DA,45.28,3.48,3.11,有,
五股區,房地(土地+建物),新北市五股區新五路三段２００號十七樓,8.65,商,,,1090215,土地1建物1車位0,十七層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,69.34,2,2,1,有,有,6300000,90857,,0,0,預售屋、或土地及建物分件登記案件；,RPQQMLTJRHIGFBF98DA,43.7,0,3.02,有,
五股區,房地(土地+建物),新北市五股區新五路三段２００號十四樓,8.65,商,,,1090223,土地1建物1車位0,十四層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,69.34,2,2,1,有,有,6100000,87972,,0,0,預售屋、或土地及建物分件登記案件；,RPOQMLTJRHIGFBF78DA,43.7,0,3.02,有,
五股區,房地(土地+建物),新北市五股區新五路三段２００號十一樓,8.65,商,,,1090216,土地1建物1車位0,十一層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,69.34,2,2,1,有,有,6250000,90136,,0,0,民國111年4月19日轉讓，交易總額新台幣738萬元整預售屋、或土地及建物分件登記案件；,RPWPMLTJRHIGFBF86DA,43.7,0,3.02,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１９０號九樓,10.98,商,,,1090214,土地1建物1車位1,九層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,113.56,2,2,1,有,有,8830000,92658,坡道平面,36.61,1700000,民國110年11月3日轉讓，交易金額新台幣883萬元整。民國112年3月1日讓渡。預售屋、或土地及建物分件登記案件；,RPUQMLTJRHIGFBF76DA,45.28,3.48,3.11,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１７６號四樓,12.15,商,,,1090208,土地1建物1車位1,四層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,122.28,3,2,1,有,有,9350000,87545,坡道平面,36.61,1850000,預售屋、或土地及建物分件登記案件；,RPSUMLTJRHIGFBF96DA,47.39,4.96,5.44,有,
五股區,房地(土地+建物),新北市五股區新五路三段１７２號十九樓,8.65,商,,,1090203,土地1建物1車位0,十九層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,69.34,2,2,1,有,有,6108000,88088,,0,0,民國109年9月6日讓渡，民國112年2月6日再讓渡預售屋、或土地及建物分件登記案件；,RPPUMLTJRHIGFBF66DA,43.7,0,3.02,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１７８號六樓,13.55,商,,,1090116,土地1建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,134.53,3,2,2,有,有,10550000,88337,坡道平面,36.61,1900000,預售屋、或土地及建物分件登記案件；,RPPVMLTJRHIGFBF76DA,57.95,3.09,4.97,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段２００號十三樓,10.05,商,,,1090108,土地1建物1車位1,十三層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,105.95,2,2,1,有,有,7720000,86819,坡道平面,36.61,1700000,預售屋、或土地及建物分件登記案件；,RPXPMLTJRHIGFBF96DA,43.7,0,3.02,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１７２號九樓,10.05,商,,,1090129,土地1建物1車位1,九層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,105.95,2,2,1,有,有,8300000,92299,坡道平面,36.61,1900000,預售屋、或土地及建物分件登記案件；,RPVTMLTJRHIGFBF17DA,43.7,0,3.02,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１８０號四樓,10.52,商,,,1090124,土地1建物1車位1,四層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,106.33,2,2,1,有,有,7700000,86059,坡道平面,36.61,1700000,預售屋、或土地及建物分件登記案件；,RPQUMLTJRHIGFBF76DA,43.42,0,3.57,有,
