district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31,rps32
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８６號八樓,29.96,都市：其他:通訊數位專用區,,,1120906,土地1建物1車位1,八層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,171.81,3,2,2,有,有,36270000,245424,坡道平面,33.6,2350000,,RPSRMLRLKIIGFAF58DA,84.09,0,5.29,有,
板橋區,房地(土地+建物),新北市板橋區三民路二段１０９巷１４號,32.75,住,,,1120910,土地1建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680327,94.17,3,1,2,有,無,18880000,200488,,0,0,其他增建；,RPSNMLNJJHJGFAF47DA,94.17,0,0,無,
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８６號九樓,29.96,都市：其他:通訊數位專用區,,,1120920,土地1建物1車位1,九層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,171.81,3,2,2,有,有,36850000,249620,坡道平面,33.6,2350000,,RPTRMLRLKIIGFAF68DA,84.09,0,5.29,有,
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８６號十一樓,29.96,都市：其他:通訊數位專用區,,,1120919,土地1建物1車位1,十一層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,171.81,3,2,2,有,有,36400000,246364,坡道平面,33.6,2350000,,RPURMLRLKIIGFAF78DA,84.09,0,5.29,有,
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８６號十四樓,29.96,都市：其他:通訊數位專用區,,,1120928,土地1建物1車位1,十四層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,171.81,3,2,2,有,有,34780000,234643,坡道平面,33.6,2350000,,RPVRMLRLKIIGFAF88DA,84.09,0,5.29,有,
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８６號十八樓,29.96,都市：其他:通訊數位專用區,,,1120920,土地1建物1車位1,十八層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,171.81,3,2,2,有,有,38810000,262354,坡道平面,33.6,2550000,,RPOSMLRLKIIGFAF28DA,84.09,0,5.29,有,
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８６號二十四樓,29.96,都市：其他:通訊數位專用區,,,1120923,土地1建物1車位1,二十四層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,171.81,3,2,2,有,有,40400000,273859,坡道平面,33.6,2550000,,RPPSMLRLKIIGFAF38DA,84.09,0,5.29,有,
板橋區,房地(土地+建物),新北市板橋區民生路三段３２３號十八樓之５,1.85,都市：其他:住宅區,,,1120930,土地2建物1車位0,十八層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950914,55.81,2,1,1,有,有,10400000,186347,,0,0,夾層；,RPPPMLKLJIIGFAF27DA,37.86,0,0.04,有,0471
板橋區,房地(土地+建物)+車位,新北市板橋區環河西路五段２３１號十四樓,14.17,住,,,1120924,土地1建物1車位1,十四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100901,111.29,2,2,1,有,有,18400000,165334,坡道平面,23.22,0,,RPTQMLPJKIIGFAF18DA,51.77,4.51,2.74,有,0472
板橋區,房地(土地+建物)+車位,新北市板橋區遠東路８８號十七樓,24.11,都市：其他:通訊數位專用區,,,1120916,土地1建物1車位1,十七層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110720,144.83,3,2,2,有,有,34250000,287692,坡道平面,33.6,2250000,,RPTSMLRLKIIGFAF78DA,68.03,0,3.9,有,
